id,price,rooms,bathrooms,square_meters,zone,city,price_per_m2
1,11111,7,5,335,Buenos Aires Interior,Lujan,33
2,11111,3,3,230,Buenos Aires Interior,Lujan,48
3,16000,2,1,60,Buenos Aires Interior,Lujan,267
4,21999,3,1,70,Buenos Aires Interior,Lujan,314
5,22000,3,1,80,Buenos Aires Interior,Lujan,275
6,27000,4,1,325,Buenos Aires Interior,Lujan,83
7,28000,3,1,65,Buenos Aires Interior,Lujan,431
8,30000,1,1,20,Buenos Aires Interior,Lujan,1500
9,31000,3,1,50,Buenos Aires Interior,Lujan,620
10,31000,3,1,50,Buenos Aires Interior,Lujan,620
11,32000,1,1,20,Buenos Aires Interior,Lujan,1600
12,33000,2,1,70,Buenos Aires Interior,Lujan,471
13,35000,2,1,127,Buenos Aires Interior,Lujan,276
14,35000,4,1,50,Buenos Aires Interior,Lujan,700
15,35000,3,1,582,Buenos Aires Interior,Lujan,60
16,35000,3,1,50,Buenos Aires Interior,Lujan,700
17,35000,2,1,60,Buenos Aires Interior,Lujan,583
18,38000,3,1,300,Buenos Aires Interior,Lujan,127
19,38000,4,2,70,Buenos Aires Interior,Lujan,543
20,38000,2,1,45,Buenos Aires Interior,Lujan,844
21,39800,3,1,53,Buenos Aires Interior,Lujan,751
22,39900,3,1,90,Buenos Aires Interior,Lujan,443
23,40000,2,1,30,Buenos Aires Interior,Lujan,1333
24,40000,3,1,50,Buenos Aires Interior,Lujan,800
25,40000,4,1,100,Buenos Aires Interior,Lujan,400
26,42000,3,1,120,Buenos Aires Interior,Lujan,350
27,43000,3,1,60,Buenos Aires Interior,Lujan,717
28,43000,3,1,110,Buenos Aires Interior,Lujan,391
29,44000,2,1,63,Buenos Aires Interior,Lujan,698
30,45000,3,1,224,Buenos Aires Interior,Lujan,201
31,45000,1,1,150,Buenos Aires Interior,Lujan,300
32,45000,2,1,62,Buenos Aires Interior,Lujan,726
33,45000,3,1,49,Buenos Aires Interior,Lujan,918
34,45000,3,1,40,Buenos Aires Interior,Lujan,1125
35,45000,3,1,80,Buenos Aires Interior,Lujan,562
36,45000,3,1,70,Buenos Aires Interior,Lujan,643
37,45000,2,1,105,Buenos Aires Interior,Lujan,429
38,45000,2,1,107,Buenos Aires Interior,Lujan,421
39,45000,3,1,65,Buenos Aires Interior,Lujan,692
40,46000,3,1,162,Buenos Aires Interior,Lujan,284
41,46500,3,1,117,Buenos Aires Interior,Lujan,397
42,47000,3,1,127,Buenos Aires Interior,Lujan,370
43,47000,5,1,115,Buenos Aires Interior,Lujan,409
44,48000,4,2,80,Buenos Aires Interior,Lujan,600
45,48000,3,1,70,Buenos Aires Interior,Lujan,686
46,48000,2,1,50,Buenos Aires Interior,Lujan,960
47,49000,3,2,60,Buenos Aires Interior,Lujan,817
48,49000,3,1,90,Buenos Aires Interior,Lujan,544
49,49500,2,2,80,Buenos Aires Interior,Lujan,619
50,49500,4,1,50,Buenos Aires Interior,Lujan,990
51,50000,2,1,90,Buenos Aires Interior,Lujan,556
52,50000,4,2,238,Buenos Aires Interior,Lujan,210
53,50000,3,1,300,Buenos Aires Interior,Lujan,167
54,50000,2,1,50,Buenos Aires Interior,Lujan,1000
55,50000,1,1,50,Buenos Aires Interior,Lujan,1000
56,50000,2,1,65,Buenos Aires Interior,Lujan,769
57,50000,7,1,140,Buenos Aires Interior,Lujan,357
58,52000,3,1,179,Buenos Aires Interior,Lujan,291
59,52000,2,1,135,Buenos Aires Interior,Lujan,385
60,52000,3,1,93,Buenos Aires Interior,Lujan,559
61,53000,3,1,93,Buenos Aires Interior,Lujan,570
62,53000,2,1,99,Buenos Aires Interior,Lujan,535
63,53000,3,1,350,Buenos Aires Interior,Lujan,151
64,53000,3,1,130,Buenos Aires Interior,Lujan,408
65,53900,4,1,69,Buenos Aires Interior,Lujan,781
66,54000,4,2,111,Buenos Aires Interior,Lujan,486
67,55000,3,1,64,Buenos Aires Interior,Lujan,859
68,55000,4,1,65,Buenos Aires Interior,Lujan,846
69,55000,4,2,120,Buenos Aires Interior,Lujan,458
70,55000,2,1,120,Buenos Aires Interior,Lujan,458
71,55000,4,1,100,Buenos Aires Interior,Lujan,550
72,55000,3,1,100,Buenos Aires Interior,Lujan,550
73,55000,2,2,95,Buenos Aires Interior,Lujan,579
74,55000,3,1,100,Buenos Aires Interior,Lujan,550
75,55000,4,1,60,Buenos Aires Interior,Lujan,917
76,55000,2,1,65,Buenos Aires Interior,Lujan,846
77,56000,3,1,95,Buenos Aires Interior,Lujan,589
78,56000,2,1,40,Buenos Aires Interior,Lujan,1400
79,58000,3,1,394,Buenos Aires Interior,Lujan,147
80,58000,3,1,125,Buenos Aires Interior,Lujan,464
81,58000,4,1,69,Buenos Aires Interior,Lujan,841
82,58000,3,1,80,Buenos Aires Interior,Lujan,725
83,58000,5,2,130,Buenos Aires Interior,Lujan,446
84,58000,2,1,48,Buenos Aires Interior,Lujan,1208
85,58000,3,1,80,Buenos Aires Interior,Lujan,725
86,58000,5,2,126,Buenos Aires Interior,Lujan,460
87,59000,7,1,100,Buenos Aires Interior,Lujan,590
88,59000,3,1,100,Buenos Aires Interior,Lujan,590
89,59000,4,2,120,Buenos Aires Interior,Lujan,492
90,59000,2,1,50,Buenos Aires Interior,Lujan,1180
91,59500,3,1,97,Buenos Aires Interior,Lujan,613
92,60000,5,1,65,Buenos Aires Interior,Lujan,923
93,60000,5,1,160,Buenos Aires Interior,Lujan,375
94,60000,3,1,60,Buenos Aires Interior,Lujan,1000
95,60000,3,1,90,Buenos Aires Interior,Lujan,667
96,60000,3,1,120,Buenos Aires Interior,Lujan,500
97,60000,3,1,90,Buenos Aires Interior,Lujan,667
98,60000,3,1,300,Buenos Aires Interior,Lujan,200
99,60000,3,1,100,Buenos Aires Interior,Lujan,600
100,60000,3,2,310,Buenos Aires Interior,Lujan,194
101,60000,3,1,70,Buenos Aires Interior,Lujan,857
102,60000,5,2,160,Buenos Aires Interior,Lujan,375
103,60000,3,1,110,Buenos Aires Interior,Lujan,545
104,60000,2,1,60,Buenos Aires Interior,Lujan,1000
105,60000,2,1,400,Buenos Aires Interior,Lujan,150
106,60000,2,1,80,Buenos Aires Interior,Lujan,750
107,60000,3,1,80,Buenos Aires Interior,Lujan,750
108,60000,3,1,105,Buenos Aires Interior,Lujan,571
109,60000,5,2,180,Buenos Aires Interior,Lujan,333
110,60000,3,1,198,Buenos Aires Interior,Lujan,303
111,60000,1,1,50,Buenos Aires Interior,Lujan,1200
112,60000,4,1,77,Buenos Aires Interior,Lujan,779
113,60000,2,1,60,Buenos Aires Interior,Lujan,1000
114,60000,2,1,120,Buenos Aires Interior,Lujan,500
115,60000,5,1,70,Buenos Aires Interior,Lujan,857
116,62000,3,1,60,Buenos Aires Interior,Lujan,1033
117,62000,3,1,214,Buenos Aires Interior,Lujan,290
118,62000,3,1,120,Buenos Aires Interior,Lujan,517
119,62000,4,1,130,Buenos Aires Interior,Lujan,477
120,63000,3,1,70,Buenos Aires Interior,Lujan,900
121,63500,4,1,130,Buenos Aires Interior,Lujan,488
122,64000,4,1,91,Buenos Aires Interior,Lujan,703
123,65000,4,1,73,Buenos Aires Interior,Lujan,890
124,65000,4,1,125,Buenos Aires Interior,Lujan,520
125,65000,4,1,60,Buenos Aires Interior,Lujan,1083
126,65000,2,1,215,Buenos Aires Interior,Lujan,302
127,65000,4,1,80,Buenos Aires Interior,Lujan,812
128,65000,7,3,300,Buenos Aires Interior,Lujan,217
129,65000,3,2,156,Buenos Aires Interior,Lujan,417
130,65000,3,1,55,Buenos Aires Interior,Lujan,1182
131,65000,2,1,80,Buenos Aires Interior,Lujan,812
132,65000,3,1,133,Buenos Aires Interior,Lujan,489
133,65000,5,1,140,Buenos Aires Interior,Lujan,464
134,65000,3,1,60,Buenos Aires Interior,Lujan,1083
135,65000,3,1,170,Buenos Aires Interior,Lujan,382
136,65000,2,2,103,Buenos Aires Interior,Lujan,631
137,65000,3,1,100,Buenos Aires Interior,Lujan,650
138,65000,4,1,120,Buenos Aires Interior,Lujan,542
139,65000,5,2,132,Buenos Aires Interior,Lujan,492
140,66000,5,1,100,Buenos Aires Interior,Lujan,660
141,67000,3,1,360,Buenos Aires Interior,Lujan,186
142,67000,4,1,200,Buenos Aires Interior,Lujan,335
143,68000,5,1,90,Buenos Aires Interior,Lujan,756
144,68000,3,1,68,Buenos Aires Interior,Lujan,1000
145,68000,7,2,89,Buenos Aires Interior,Lujan,764
146,68000,5,2,120,Buenos Aires Interior,Lujan,567
147,68000,3,1,130,Buenos Aires Interior,Lujan,523
148,69000,3,1,135,Buenos Aires Interior,Lujan,511
149,69000,4,1,134,Buenos Aires Interior,Lujan,515
150,69000,3,1,70,Buenos Aires Interior,Lujan,986
151,69000,4,1,93,Buenos Aires Interior,Lujan,742
152,70000,3,1,61,Buenos Aires Interior,Lujan,1148
153,70000,3,2,143,Buenos Aires Interior,Lujan,490
154,70000,3,2,271,Buenos Aires Interior,Lujan,258
155,70000,4,2,147,Buenos Aires Interior,Lujan,476
156,70000,4,1,92,Buenos Aires Interior,Lujan,761
157,70000,4,1,225,Buenos Aires Interior,Lujan,311
158,70000,3,1,74,Buenos Aires Interior,Lujan,946
159,70000,2,2,100,Buenos Aires Interior,Lujan,700
160,70000,3,1,54,Buenos Aires Interior,Lujan,1296
161,72000,3,1,68,Buenos Aires Interior,Lujan,1059
162,72000,2,1,81,Buenos Aires Interior,Lujan,889
163,72000,3,1,109,Buenos Aires Interior,Lujan,661
164,73000,4,1,80,Buenos Aires Interior,Lujan,912
